Name;Grassroots organization;Location;Description;Website;Website2;lat;lng
EUROPEAN AGROECOLOGY KNOWLEDGE EXCHANGE NETWORK;EUROPEAN COORDINATION OF LA VIA CAMPESINA (ECVC);Bruxselles, Belgium;European Agroecology Knowledge Exchange Network aims to link European initiatives which promote the peasant-to-peasant agroecological knowledge exchange. This network is part of an international process led by La Via Campesina (LVC) and coordinated in Europe by the European Coordination of La Via Campesina (ECVC).;https://www.eurovia.org/eaken/;;50,8519;4,3665
AMRITA BHOOMI;LA VIA CAMPESINA SOUTH ASIA;India;Amrita Bhoomi (meaning Eternal Earth) is a Centre for Sustainable Development and School of Agroecology founded by the Indian peasant movement KRRS in Karnataka in South India. It consists of several components that reflect our commitment to a more prosperous, equitable and ecological future. These components revolve around the training and promotion of agroecology and natural agriculture, renewable energy, green building, and economic diversification based on small cottage industries, as well as education, combating child labor, inequality and discrimination, and the creation of cooperatives and direct links between producers and consumers. All of these components are oriented towards greater self-reliance and capacity for collective action of the peasant communities. Local communities want to be provided with educational tools through this project so they can rebuild their independence and dignity. Amrita Bhoomi works towards the eradication of poverty through the collective construction of ecological and equitable local economies that protect them from the ravages of the global market. The project is a response to the disastrous crisis facing the rural economy in India, reflected in the rising tide of suicides among rural families drowning in debt (according to the latest government data, more than 200,000 peasants committed suicide between 1993 and 2013 because of their indebtedness, and that figure reflects only officially documented cases and does not include suicide attempts), and mass migration to urban slums in cities. In this context, Amrita Bhoomi contributes to the reconstruction of food sovereignty and agricultural and livestock biodiversity, sustainable self-management of natural resources, universal access to education and to strengthen local economies that allow the permanence of farmer communities in their territory and give them a positive outlook for the future. The residential Training Center on Life Cycles and the School of Agroecology have already been built, including the housing for the staff working permanently in the center, and a Livestock Bank. After a first experiment on a small plot, this year, agroecological farming will be implemented through a Model Farm on 20 hectares. For the next few years, the equipping of the Seed Bank, the Reserve of Medicinal Plants, more housing for staff working permanently in the center, and a nursery (for the staff and children of those receiving training), Center for Economic Diversification, and an alternative school called Green School are planned. The Center aims to operate at full capacity and become economically self-sufficient. The Center is an essential part of the long-term strategy of the movement of farmers in the state of Karnataka and its youth wing the Green Brigade. The patronage of the Amrita Bhoomi Foundation includes representatives of other movements Indian farmers who are enacting a close monitoring of the project in order to replicate it in other regions. Beyond India, various organizations of La Via Campesina (in which KRRS played and continues to play a central role) continue the project with great interest, because they want to carry out projects with similar approaches in their countries. Amrita Bhoomi is the seat of the first School of Agroecology of La Via Campesina in South Asia.;https://amritabhoomi.org/;;11,9136358;77,0777397
AGROECOLOGY SCHOOL;'KOREAN WOMEN''S PEASANT ASSOCIATION (KWPA)';South Korea;KWPA's ‘Agroecology School’ organizes women peasants to practice agroecology through learning processes and courses. Participants practice agroecology and become change makers during their time at the ''Agroecology School'' and after school graduation. The school also conducts study visits and field trip programs in South East Asian countries to exchange women peasants’ knowledge and skills as well as publishing books to understand and practice agroecology for both women peasants and food producers in the region.';http://www.kwpa.org/index.php;;37.5559744;126.9931086
SHASHE AGROECOLOGY SCHOOL;ZIMBABWE SMALL HOLDER ORGANIC FARMERS FORUM (ZIMSOFF);Zimbawe;The Shashe Agroecology School promotes the exchange of experiences through horizontal learning to disseminate agroecological and sustainable peasant agriculture practices. The peasant families in Shashe are members of the Zimbabwe Small Organic Farmers Forum (ZIMSOFF), which represents peasant families practicing organic, traditional and agroecological agriculture in Zimbabwe. ZIMSOFF has some 19,000 smallholder farmers organized in four large clusters. These clusters are made up of 64 local smallholder farmer organizations (SFOs), which nurture dynamic alliances.;https://zimsoff.org/;;-20.142468;28.5786929
'CENTRE INTERNATIONAL DE FORMATION À L''AGROÉCOLOGIE PAYSANNE DE NYÉLÉNI';COORDINATION NATIONALE DES ORGANISATIONS PAYSANNES (CNOP);Bamako, Malí;'Mali''s Coordination Nationale des Organisations Paysannes (CNOP) established the International Center for Training in Peasant Agroecology – Nyéléni at the time of the International Forum for Food Sovereignty in 2007. Since then, it has become the hub of peasant agroecology training across the country, thanks largely to CNOP facilitators working together with local promoters in 20 different rural Malian communities. Combining political and technical training with literacy reinforcement programs, the Centre's aim is to empower rural communities to defend, demand, and develop food sovereignty through peasant agroecology. Training the trainers, Nyéléni currently offers the following modules to CNOP and allied peasant agroecology promoters: (1) the pillars of peasant agroecology, (2) native seed selection, saving and exchange, (3) animal husbandry and vaccination, (4) agrosilvopastoral systems, (5) small-scale fish ponds, (6) water harvesting and management, (7) strengthening of soil organic matter, and (8) the transformation of harvested crops such as rice, maize, and millets. All of these are developed in a decentralized way, adapted to local social and ecological conditions, with promoters encouraged to engage in community-based experimentation and dialogue based on a consensus with elected officials (maire), community leaders (chefs de village), heads of households (chefs de famille), and training participants (apprenants). After each training, promoters are asked to report back on the challenges faced and needs identified by each community involved.';http://www.cnop-mali.org/;;12.6465431;-8.0031435
ESCUELA LATINOAMERICANA DE AGROECOLOGÍA (ELAA);COORDINADORA LATINOAMERICANA DE ORGANIZACIONES DEL CAMPO (CLOC-VÍA CAMPESINA);Curtiba, Brasil;Latin American School of Agroecology (ELAA) was created in 2005 out of the World Social Forum in order to train new militants to build a new project of peasant agriculture, within the context of confrontational class struggle, against agribusiness and the model of entrepreneurial agriculture. It is located in the Asentamiento do Contestado, in the state of Paraná, Brazil, and is one of several schools of agroecology that Via Campesina runs in several countries of the Southern Cone and Caribbean. The school arises from a need of the organizations of Via Campesina together with the IALA (Latin American Agroecological Institute of Agroecology) in order to be a space of training, a space of ideological political and technical training of professionals in agroecology, particularly those who work  directly in peasant communities with agriculture helping to strengthen the organizations based on  the experiences in communities, with continuous and integral training - this is the main objective of ELAA.;http://elaa.redelivre.org.br/;;-25.4268291;-49.2713335
INSTITUTO DE AGROECOLOGÍA LATINOAMERICANO PAULO FREIRE (IALA);CORRIENTE REVOLUCIONARIA BOLÍVAR Y ZAMORA (CRBZ);Barinas, Venezuela;"Latin American University-level Institute of Agroecology ""Paulo Freire” (IALA) was conceived as an environment in which education implies responsibility with society, the democratic and democratizing, a space to promote endogenous and sustainable development, an ethical-political space to promote the construction of a Latin American communal citizenship, for the inclusive integral formation of the scientific-humanistic without discrimination against ancestral knowledge. The Institute is a university-level education center that trains Latin American and Caribbean students coming from grassroots peasant movements who, upon returning to their countries, regions and localities of origin, will contribute to endogenous, integral and agroecological development while strengthening the struggles against neoliberalism, agribusiness, dependence in all of its forms and environmental depredation. Work at IALA is directly oriented towards the achievement of food sovereignty and the solidarious integration of the peoples of Latin America, the Caribbean and the world, within the framework of the Bolivarian Alternative of the Peoples of Our America (ALBA).";http://ialapaulofreire.blogspot.com/;;8.6306366;-70.2665551
BKS AGROECOLOGY PROCESS;BANGLADESH KISHANI SABHA (BKS);Dhaka, Bangladesh;The BKS Agroecology Process includes peasant women doing ecological farming, growing various crops without chemical fertilizers or pesticides and using local saved seeds. The agricultural produce is popular because of taste and health benefits and is sold locally near participating farms. They use very simple methods in their production process, mainly using compost manure made from cow dung and decaying vegetation to care for soil health. This process includes a three-day workshops by and for peasant members of BKS.;www.krishok.org;;23,8110564;90,4109487
FNN AGROECOLOGY PROCESS;FARMER AND NATURE NET (FNN);Phnom Penh, Cambodia;"FNN acts as an umbrella for Cambodia''s village-based farmers associations, providing representation, technical training and capacity building. Farmer-to-farmer extension and action research (""learning by doing"") are the main approaches. To ensure that farmers have sufficient capacity to self-organize the planning, implementation and evaluation of systematic experiments, FNN provides the training on Participatory Innovation Development (PID) or Participatory Technology Development (PTD). These training methods focus on helping farmers to learn to collectively plan, experiment, observe, reflect and advance their own experiences and share them. This training also fosters mutual respect and self-confidence in participants to ensure the best outcome from their experiments.'";https://viacampesina.org/en/farmer-and-nature-network-fnn/;;11.5603401;104.9313691
PARAGOS SCHOOL OF AGROECOLOGY;PAGKAKAISA PARA SA TUNAY NA REPORMANG AGRARYO AT KAUNLARANG PANGKANAYUNAN (PARAGOS);Manila, Philippines;To increase the number of people and places impacted by agroecology, PARAGOS partnered with the Department of Agrarian Reform and conducted trainings in different Provinces, targeting rural women farmers and small farmers. It focuses on sharing with them the knowledge and new techniques in farming that would increase farm income but at the same time wean them out from the use of chemical fertilizers. It promotes farmer to farmer exchange of ideas and agroecological practices and replicating the training in as many farming communities to enhance a greater appreciation of agroecology, especially organic farming.;https://viacampesina.org/en/pagkakaisa-para-tunay-na-repormang-agraryo-at-kaunlarang-pangkanayunan-paragos/;;14.5855641;120.9789875
